stung
racer
rarer
moral
coral
craft
draft
trial
milky
sulky
baggy
buggy
wreak
freak
break
payer
paler
gaily
gayly
admin
admit
drake
broke
spiny
spicy
gruel
cruel
reply
repay
minor
manor
miner
inept
inert
radii
radio
joist
hoist
foist
moist
salty
lefty
hefty
knock
knack
fizzy
dizzy
fancy
fanny
grace
grape
grade
storm
story
store
smock
stock
whiny
shiny
elide
glide
elite
fetch
tramp
cramp
trump
freer
spurn
spurt
wedge
hedge
ledge
lodge
crone
drone
prone
wreck
caddy
daddy
paddy
dandy
jumpy
dumpy
lumpy
dummy
ionic
sonic
tonic
slurp
slump
smote
smoke
gleam
glean
court
count
amber
ember
place
plate
plane
drive
rebel
revel
repel
owing
sling
suing
money
honey
boney
scary
scaly
scarf
scare
dimly
woozy
woody
wooly
snide
snipe
floor
flood
scone
stone
shone
scene
scope
score
bride
pride
prude
prize
prime
tithe
lithe
lathe
crump
chump
clump
crimp
crumb
jaunt
daunt
haunt
gaunt
vaunt
diver
giver
given
savoy
savvy
savor
hairy
dairy
fairy
daisy
still
skill
swill
beard
heard
board
ferry
berry
merry
furry
layer
payee
holly
flare
blare
untie
until
scamp
stamp
scalp
agate
abate
agape
breed
greed
shaky
snaky
rower
roger
spied
shied
speed
spiel
quite
suite
scrap
scram
genre
genie
covet
comet
covey
coven
sower
power
mower
tower
defer
refer
deter
spree
scree
stash
slash
smash
swash
tango
mango
tangy
shrug
shrub
other
ether
altar
alter
abase
stint
alive
olive
alike
world
would
build
guild
guilt
guile
smith
flush
plush
slush
blush
shush
slosh
angle
ankle
spent
scent
spend
feral
fetal
fecal
briar
friar
nanny
canny
funny
quash
quasi
acorn
awash
teddy
toddy
brawn
drawn
prawn
drift
frost
allay
alley
crept
crypt
crepe
baler
prank
plant
snake
snare
black
hurry
curry
spank
stand
tapir
posse
strut
stout
marsh
harsh
march
valor
vapor
boast
roast
coast
toast
roost
beget
beret
penne
pence
penny
spare
skiff
oaken
drier
dwell
swell
dwelt
gooey
goofy
goody
stick
booze
tabby
cabby
being
brine
briny
creme
bunny
sunny
sleek
sleep
stump
built
choir
chair
elder
meter
tumor
rumor
humor
block
frock
yield
wield
field
globe
staid
stair
stain
badge
barge
screw
shrew
brood
bloom
sooty
booth
golly
jolly
folly
dough
bough
rough
tough
flier
plier
flyer
clamp
pulse
chock
slain
croak
cloak
crook
ovoid
avoid
curly
burly
surly
doing
going
wince
mince
since
singe
chain
purge
twirl
swirl
crane
craze
embed
witty
ditty
kitty
dirty
ditto
wrest
wrist
dodgy
dodge
gloat
could
tying
dying
eying
vying
lying
thing
leper
handy
sandy
randy
candy
brash
chant
champ
magic
manic
plied
blast
boost
sport
guide
guise
dusty
dense
sense
snail
snarl
lofty
blade
blame
quoth
quota
quote
waver
rusty
musty
lusty
gouge
rouge
route
molar
solar
polar
remit
refit
brush
crush
jetty
petty
model
motel
modal
modem
rapid
vapid
rabid
mushy
curvy
curve
porch
flake
hence
fence
throw
threw
throb
harpy
happy
hardy
crust
trust
tryst
truss
swear
shear
spear
smear
sweat
picky
slope
waive
naive
tardy
flung
fling
flunk
vault
ester
haven
groom
broom
gloom
trunk
chief
thief
tight
right
wight
night
sight
light
fight
might
eight
chaff
snout
shout
spout
scout
snort
fully
gully
bulky
green
preen
urine
drink
drank
drunk
gripe
spore
snore
stoke
plain
plaid
plait
wiser
miser
risen
probe
torch
queer
queen
mound
sound
pound
hound
found
round
bound
wound
shown
showy
loyal
royal
local
serum
scrum
cleft
adept
adopt
adapt
alone
atone
along
gravy
crash
horde
horse
lynch
lunch
crown
carve
gamma
magma
pupil
lucky
grail
frail
aptly
apply
scour
funky
shift
swift
shaft
shirt
serve
nerve
filmy
olden
moult
mount
flash
sooth
frank
gauge
welsh
welch
camel
cameo
testy
zesty
merge
bushy
pushy
debar
rebar
scold
scald
brook
valid
worse
edict
evict
pivot
pilot
decal
focal
rigor
vigor
kinky
mangy
manly
manga
mange
topic
toxic
groan
groin
grown
meant
worst
bless
bliss
short
mania
phone
prune
prong
bribe
ready
beady
heady
heavy
zonal
tonal
total
tenth
teeth
joust
joint
petal
metal
fatal
strip
fuzzy
slant
crisp
cynic
bloke
flail
dingo
lingo
bingo
scrub
wider
woman
judge
nudge
fudge
reign
feign
deign
befit
excel
expel
phony
thick
check
tutor
panic
bathe
latte
gipsy
tipsy
gypsy
mercy
gauze
exult
brawl
trawl
drawl
crawl
hitch
hutch
sonar
frown
apple
ample
solve
salvo
hinge
binge
islet
inlet
ounce
dunce
dance
weigh
neigh
gassy
sassy
sissy
retro
metro
retry
bongo
eking
print
point
cheer
missy
eject
elect
erect
drown
vocal
spell
gulch
mulch
tooth
elate
dutch
butch
sweep
sheep
sweet
onion
union
shove
shard
sharp
hoard
heart
teary
weary
bevel
level
grind
grime
primo
outer
amply
assay
essay
debut
rebut
recut
rebus
smart
witch
ditch
cider
aider
mafia
filet
ovine
opine
twist
twixt
ratio
patio
quilt
widen
never
sever
fever
fewer
quart
melon
felon
colon
color
label
libel
lapel
smelt
super
youth
south
wimpy
wispy
mossy
bossy
glint
udder
under
elope
saute
haute
sauce
kneel
kneed
berth
birch
cubic
pubic
timer
speck
speak
shire
flair
dryer
tweet
tweed
broad
envoy
enjoy
tiger
croup
debug
shirk
smirk
crowd
sneak
reedy
seedy
needy
weedy
nerdy
blurt
blurb
frame
squad
squat
villa
viola
swath
caper
sheer
sneer
sheet
sheen
lurch
amiss
amass
relax
shoot
poser
poker
leave
weave
heave
juicy
juice
patsy
palsy
pansy
slyly
shyly
plumb
plump
drape
burnt
burst
scant
overt
moody
pedal
penal
flesh
flask
imply
unfed
unwed
foyer
three
guest
quest
guess
unlit
unfit
unite
unity
large
frisk
brisk
brick
unmet
aping
aging
thong
crier
growl
prowl
liner
diner
motor
rotor
enema
enemy
swish
range
locus
focus
ficus
ninny
vivid
livid
lipid
trash
giddy
biddy
crony
irony
sewer
seven
knead
visor
lance
snuck
think
broth
after
moldy
joker
bleep
froth
aglow
hippo
hippy
pooch
angel
anger
godly
buddy
ruddy
muddy
decry
gummy
swept
stony
dingy
ridge
midge
medal
skirt
skull
skulk
shelf
vowel
bowel
dowel
towel
warty
outgo
outdo
betel
bezel
prick
newer
sappy
thank
hotly
waist
dryly
wryly
sieve
semen
jerky
piece
niece
junto
junta
snowy
reuse
recur
ruler
ruder
slept
surge
munch
unify
mayor
major
graph
debit
fauna
sauna
trade
award
aware
troop
crazy
quill
quell
hunch
foamy
loamy
idiom
idiot
antic
attic
onset
honor
donor
heist
lemur
demur
femur
favor
aloud
cloud
flaky
fiend
rivet
fresh
quiet
nobly
noble
shunt
among
crude
fault
toxin
amble
eaten
amuse
abuse
sober
belie
space
realm
rearm
smoky
slimy
grimy
micro
tunic
saucy
title
today
canon
canoe
sixty
sixth
